


Primeiro período

Horario,SEGUNDA-FEIRA,TERÇA-FEIRA,QUARTA-FEIRA,QUINTA-FEIRA,SEXTA-FEIRA
14:50,Vago,Vago,Vago,Vago,Vago,
16:40,Estrutura de dados I,Vago,Vago,Vago,Vago,
19:00,Vago,Vago,Vago,Vago,Introdução ao ensino superior,
20:50,Vago,Vago,Vago,Vago,Estrutura de dados I,


Segundo período

Horario,SEGUNDA-FEIRA,TERÇA-FEIRA,QUARTA-FEIRA,QUINTA-FEIRA,SEXTA-FEIRA
14:50,Vago,Vago,Vago,Vago,Vago,
16:40,Introdução ao ensino superior,Vago,Vago,Vago,Vago,
19:00,Vago,Vago,Vago,Vago,Vago,
20:50,Vago,Vago,Vago,Vago,Introdução ao ensino superior,


Terceiro período

Horario,SEGUNDA-FEIRA,TERÇA-FEIRA,QUARTA-FEIRA,QUINTA-FEIRA,SEXTA-FEIRA
14:50,Vago,Vago,Vago,Vago,Vago,
16:40,Vago,Vago,Vago,Vago,Vago,
19:00,Introdução ao ensino superior,Vago,Vago,Vago,Vago,
20:50,Vago,Vago,Vago,Vago,Vago,


Quarto período

Horario,SEGUNDA-FEIRA,TERÇA-FEIRA,QUARTA-FEIRA,QUINTA-FEIRA,SEXTA-FEIRA
14:50,Vago,Engenharia de Software I,Vago,Vago,Vago,
16:40,Vago,Vago,Vago,Vago,Vago,
19:00,Vago,Vago,Vago,Vago,Vago,
20:50,Vago,Vago,Vago,Vago,Vago,


Quinto período

Horario,SEGUNDA-FEIRA,TERÇA-FEIRA,QUARTA-FEIRA,QUINTA-FEIRA,SEXTA-FEIRA
14:50,Vago,PIDS-II,Vago,Vago,Vago,
16:40,Vago,Vago,Vago,Vago,Vago,
19:00,Vago,Vago,Vago,Vago,Vago,
20:50,Vago,Vago,Vago,Vago,Vago,


Sexto período

Horario,SEGUNDA-FEIRA,TERÇA-FEIRA,QUARTA-FEIRA,QUINTA-FEIRA,SEXTA-FEIRA
14:50,Vago,Vago,Vago,Vago,Vago,
16:40,Vago,Vago,Vago,Vago,Vago,
19:00,Vago,Vago,Vago,Vago,Vago,
20:50,Vago,Vago,Vago,Vago,Vago,


Sétimo período

Horario,SEGUNDA-FEIRA,TERÇA-FEIRA,QUARTA-FEIRA,QUINTA-FEIRA,SEXTA-FEIRA
14:50,Vago,Vago,Introdução ao ensino superior,Vago,Vago,
16:40,Vago,Vago,Vago,Vago,Vago,
19:00,Vago,Vago,Vago,Vago,Vago,
20:50,Vago,Vago,Vago,Vago,Vago,


Oitavo período

Horario,SEGUNDA-FEIRA,TERÇA-FEIRA,QUARTA-FEIRA,QUINTA-FEIRA,SEXTA-FEIRA
14:50,Vago,Vago,Vago,Vago,Vago,
16:40,Vago,Vago,Vago,Vago,Vago,
19:00,Vago,Vago,Vago,Vago,Vago,
20:50,Vago,Vago,Vago,Vago,Vago,
